,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
373,2,1,44.0,0,0,13.0,1
374,1,0,54.0,1,1,81.8583,1
375,1,0,45.0,0,0,262.375,2
376,3,0,22.0,2,0,8.6625,1
377,2,1,21.0,0,0,11.5,1
378,1,1,55.0,0,0,50.0,1
379,3,1,5.0,4,2,31.3875,1
381,3,1,26.0,0,0,7.8792,0
383,3,0,19.0,1,0,16.1,1
385,2,0,24.0,1,2,65.0,1
386,3,1,24.0,0,0,7.775,1
387,2,1,57.0,0,0,13.0,1
388,3,1,21.0,0,0,7.75,0
389,3,1,6.0,3,1,21.075,1
390,1,1,23.0,0,0,93.5,1
391,1,0,51.0,0,1,39.4,1
392,3,1,13.0,0,2,20.25,1
393,2,1,47.0,0,0,10.5,1
394,3,1,29.0,3,1,22.025,1
395,1,0,18.0,1,0,60.0,1
396,3,1,24.0,0,0,7.25,0
397,1,0,48.0,1,1,79.2,2
398,3,1,22.0,0,0,7.775,1
399,3,1,31.0,0,0,7.7333,0
400,1,0,30.0,0,0,164.8667,1
401,2,1,38.0,1,0,21.0,1
402,1,0,22.0,0,1,59.4,2
403,1,1,17.0,0,0,47.1,1
404,1,1,43.0,1,0,27.7208,2
405,2,1,20.0,0,0,13.8625,2
406,2,1,23.0,1,0,10.5,1
407,1,1,50.0,1,1,211.5,2
409,3,0,3.0,1,1,13.775,1
411,1,0,37.0,1,0,90.0,0
412,3,0,28.0,0,0,7.775,1
414,1,0,39.0,0,0,108.9,2
415,3,1,38.5,0,0,7.25,1
